endpoint,formulation_id,batch_id,actual,predicted,predicted_std,absolute_error,squared_error
viability_percent,legacy_lit_281,legacy_literature,74.0,50.09812148054141,57.47679680051887,23.90187851945859,571.2997967589561
viability_percent,legacy_lit_308,legacy_literature,83.0,58.16238569742169,58.63385970153143,24.83761430257831,616.9070842436425
viability_percent,legacy_lit_313,legacy_literature,10.0,57.06525861568663,57.53644987918637,47.06525861568663,2215.1385685614646
viability_percent,legacy_lit_326,legacy_literature,74.33333333333333,69.57878632629719,56.50205592651659,4.7545470070361375,22.60571724211629
viability_percent,legacy_lit_329,legacy_literature,61.666666666666664,64.32708341564731,56.09813329654917,2.6604167489806443,7.077817278256741
viability_percent,legacy_lit_339,legacy_literature,84.3,59.644945256460325,58.86137531084118,24.655054743539672,607.8717244069381
viability_percent,legacy_lit_353,legacy_literature,72.0,59.80267352629856,57.78605192727899,12.197326473701438,148.77477310605795
viability_percent,legacy_lit_354,legacy_literature,73.8,59.42263774613586,57.96004660228898,14.377362253864135,206.7085453788372
viability_percent,legacy_lit_355,legacy_literature,68.2,59.74479952692123,57.88204442739614,8.455200473078776,71.49041503995156
viability_percent,legacy_lit_362,legacy_literature,55.3,57.19442670789884,57.63359380474983,1.8944267078988446,3.5888525516004544
viability_percent,legacy_lit_373,legacy_literature,72.5,55.05397561922018,54.705506013223705,17.446024380779818,304.36376669476385
viability_percent,legacy_lit_386,legacy_literature,77.0,56.62409129199907,58.66668020137731,20.375908708000928,415.17765567678805
viability_percent,legacy_wetlab_EXP101,legacy_wetlab,21.01,51.700481502035615,57.24237689746276,30.690481502035613,941.9056548267902
viability_percent,legacy_wetlab_EXP106,legacy_wetlab,8.39,60.15819046238916,58.620447946247694,51.76819046238916,2679.9455437501997
viability_percent,legacy_wetlab_EXP302,legacy_wetlab,56.18,54.75337961408476,57.59675988986347,1.4266203859152427,2.0352457255089558
viability_percent,legacy_wetlab_EXP1203,legacy_wetlab,20.26,51.466210692411195,57.175325392999724,31.206210692411194,973.8275857791588
viability_percent,legacy_wetlab_EXP2104,legacy_wetlab,53.4,56.44461944013049,58.294516599163195,3.0446194401304894,9.269707535220494
viability_percent,legacy_wetlab_EXP2105,legacy_wetlab,8.66,58.40613972537109,58.80411723277894,49.746139725371094,2474.678417576144
viability_percent,legacy_wetlab_EXP3102,legacy_wetlab,51.94,59.54423233332442,58.86086137192858,7.6042323333244255,57.82434937917664
viability_percent,legacy_wetlab_EXP3104,legacy_wetlab,49.99,59.70884687249006,58.860807802699846,9.718846872490055,94.45598453090972
viability_percent,legacy_wetlab_EXP5104,legacy_wetlab,92.63,74.03410433458869,54.86585945426027,18.595895665411305,345.80733559886295
viability_percent,legacy_wetlab_EXP5105,legacy_wetlab,91.2,74.29735937250247,54.80046234591625,16.902640627497533,285.6992601823302
viability_percent,legacy_wetlab_EXP5108,legacy_wetlab,59.17,52.29565509462651,56.345668116213766,6.874344905373491,47.25661787803447
viability_percent,legacy_wetlab_EXP5201,legacy_wetlab,27.08,59.638534828059086,58.86137457555183,32.55853482805909,1060.0581901499365
viability_percent,legacy_wetlab_EXP5211,legacy_wetlab,7.39,57.897544533932674,58.589448312160116,50.50754453393267,2551.0120548471923
viability_percent,legacy_wetlab_EXP6104,legacy_wetlab,65.5,70.77804477323762,55.81420695234913,5.2780447732376246,27.857756628301008
