round_id,round_number,phase,provenance,panel,series,formulation_id,value,lower,upper,count_pass,count_fail,production_strategy,strategy_decision_id
ROUND_007,7,screening_only,formal_frozen,observed_viability,individual_formulation,v2_acaa3c7de271,21.485,,,,,current,historical_current
ROUND_007,7,screening_only,formal_frozen,observed_viability,individual_formulation,v2_adfd2284b7fb,8.127500000000001,,,,,current,historical_current
ROUND_007,7,screening_only,formal_frozen,observed_viability,individual_formulation,v2_c0858ec7c2c6,24.2275,,,,,current,historical_current
ROUND_007,7,screening_only,formal_frozen,observed_viability,individual_formulation,v2_d880ac9c9187,21.47,,,,,current,historical_current
ROUND_007,7,screening_only,formal_frozen,observed_viability,individual_formulation,v2_e579d58c9088,13.4225,,,,,current,historical_current
ROUND_007,7,screening_only,formal_frozen,observed_viability,median_iqr,,21.4775,13.23375,49.090625,,,current,historical_current
ROUND_007,7,screening_only,formal_frozen,prospective_performance,mae,,22.18776496960027,,,,,current,historical_current
ROUND_007,7,screening_only,formal_frozen,prospective_performance,bias,,20.43958094525095,,,,,current,historical_current
ROUND_007,7,screening_only,formal_frozen,prospective_performance,interval_95_coverage,,0.6666666666666666,,,,,current,historical_current
ROUND_007,7,screening_only,formal_frozen,feasibility_mechanics,intact_pass_proportion,,1.0,0.7574992425007574,1.0,12.0,0.0,current,historical_current
ROUND_007,7,screening_only,formal_frozen,feasibility_mechanics,mechanical_measurement_count,,0.0,,,,,current,historical_current
ROUND_008,8,screening_only,formal_frozen,observed_viability,individual_formulation,v2_00d4dc35ee8a,4.4799999999999995,,,,,current,historical_current
ROUND_008,8,screening_only,formal_frozen,observed_viability,individual_formulation,v2_0c1889c524b0,24.25,,,,,current,historical_current
ROUND_008,8,screening_only,formal_frozen,observed_viability,individual_formulation,v2_16ebd2e14898,41.41,,,,,current,historical_current
ROUND_008,8,screening_only,formal_frozen,observed_viability,individual_formulation,v2_2c468d77758b,18.295,,,,,current,historical_current
ROUND_008,8,screening_only,formal_frozen,observed_viability,individual_formulation,v2_445849cbfa02,23.572499999999998,,,,,current,historical_current
ROUND_008,8,screening_only,formal_frozen,observed_viability,individual_formulation,v2_4b9990641d38,12.9175,,,,,current,historical_current
ROUND_008,8,screening_only,formal_frozen,observed_viability,individual_formulation,v2_6f20e63adb1d,26.3825,,,,,current,historical_current
ROUND_008,8,screening_only,formal_frozen,observed_viability,individual_formulation,v2_949b1b9d7a24,9.4125,,,,,current,historical_current
ROUND_008,8,screening_only,formal_frozen,observed_viability,individual_formulation,v2_b2a7d8453992,31.5375,,,,,current,historical_current
ROUND_008,8,screening_only,formal_frozen,observed_viability,individual_formulation,v2_c29d85c403ed,2.9275,,,,,current,historical_current
ROUND_008,8,screening_only,formal_frozen,observed_viability,individual_formulation,v2_cfd8fbca69e1,33.555,,,,,current,historical_current
ROUND_008,8,screening_only,formal_frozen,observed_viability,individual_formulation,v2_d2de523913b8,16.355,,,,,current,historical_current
ROUND_008,8,screening_only,formal_frozen,observed_viability,median_iqr,,20.93375,12.04125,27.67125,,,current,historical_current
ROUND_008,8,screening_only,formal_frozen,prospective_performance,mae,,34.91601052214724,,,,,current,historical_current
