sample_index,time_s,displacement_mm,force_N,analysis_window,formulation_number,replicate_id,source_file_hash
113,2.825,0.0342,0.205,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
114,2.85,0.0345,0.2072,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
115,2.875,0.0348,0.21,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
116,2.9,0.0351,0.2131,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
117,2.925,0.0354,0.2171,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
118,2.95,0.0357,0.2213,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
119,2.975,0.0361,0.2235,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
120,3.0,0.0364,0.228,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
121,3.025,0.0367,0.2338,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
122,3.05,0.037,0.24,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
123,3.075,0.0373,0.2436,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
124,3.1,0.0376,0.2485,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
125,3.125,0.0379,0.2532,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
126,3.15,0.0382,0.2615,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
127,3.175,0.0385,0.2702,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
128,3.2,0.0388,0.2746,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
129,3.225,0.0391,0.2816,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
130,3.25,0.0395,0.29,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
131,3.275,0.0398,0.2966,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
132,3.3,0.0401,0.3032,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
133,3.325,0.0404,0.3089,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
134,3.35,0.0407,0.3143,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
135,3.375,0.041,0.3222,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
136,3.4,0.0413,0.3282,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
137,3.425,0.0416,0.3374,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
138,3.45,0.0419,0.3463,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
139,3.475,0.0423,0.3549,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
140,3.5,0.0426,0.3625,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
141,3.525,0.0429,0.374,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
142,3.55,0.0432,0.3849,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
143,3.575,0.0435,0.395,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
144,3.6,0.0439,0.4036,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
145,3.625,0.0442,0.4137,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
