variant,cohort,n,mae,bias,rmse,r2,interval_95_coverage,interval_95_width,spearman
current_mixed,pooled,72,27.45603818528405,25.22353261643732,31.627344441126052,-2.3026357213110735,0.6666666666666666,69.9119369438416,0.5036946577766594
current_mixed,role:cold_start_graduation,6,43.41735322431481,43.41735322431481,43.90029624240039,-53.68457793117378,1.0,97.3992794708228,-0.942857142857143
current_mixed,role:rescue_candidate,10,11.828043569277416,7.02033169492058,14.318131819257887,0.3246997525913068,0.6,34.83516197666073,0.6969696969696969
current_mixed,role:retest_priority,7,12.51513800881172,-3.5796165931020476,14.06190403068804,-0.5713440260942937,0.0,3.895123115571404,0.7857142857142859
current_mixed,role:screening_candidate,49,30.825392413063405,30.825392413063405,34.11359682149963,-2.8669205734115595,0.7346938775510204,83.13563880726636,0.6129304684603373
current_mixed,support:model_supported,7,18.00480558305478,16.500165816432546,23.1987849648974,-2.6577084047682584,0.42857142857142855,29.301141498558945,0.6785714285714287
current_mixed,support:observed_retest,4,12.260607927378215,3.3765545501137115,14.060658460418447,-0.14401052773481293,0.0,3.8816323576208753,1.0
current_mixed,support:unclassified_historical,48,26.908113404989205,24.519119465790222,30.8052861447844,-2.0240291660630674,0.7291666666666666,73.4526968910066,0.5245751058746276
current_mixed,support:unknown_cold_start,4,45.2206616537013,45.2206616537013,45.328049338746055,-210.30543786122118,0.75,98.46678655428039,-0.7378647873726218
current_mixed,support:unknown_prior_reversion,9,36.5873987216965,36.5873987216965,39.00687760828959,-7.594717075018707,0.7777777777777778,99.26981589452902,-0.049999999999999996
legacy_correction,pooled,72,15.738816891415162,10.53664530191899,19.094797342408615,-0.20383044968596087,0.9861111111111112,98.20590346217584,0.4485605640515081
legacy_correction,role:cold_start_graduation,6,23.83379731090037,23.83379731090037,24.683090357321383,-16.287374039743966,1.0,118.22585959972123,-0.2571428571428572
legacy_correction,role:rescue_candidate,10,10.980028541750286,0.8683439566398157,12.495844527870629,0.4856539342671682,1.0,65.7248997480913,0.6848484848484848
legacy_correction,role:retest_priority,7,12.535400908251287,-3.564745131973058,13.977768668926077,-0.552596907539318,1.0,76.61965309111079,0.7857142857142859
legacy_correction,role:screening_candidate,49,16.176406949820972,12.896029678166904,20.034345733002244,-0.3337073830062889,0.9795918367346939,105.46700658284985,0.42791907970760196
legacy_correction,support:model_supported,7,7.980388100273759,6.191250875759757,10.31502657395219,0.27686513016722025,1.0,66.35721074458057,0.7500000000000002
legacy_correction,support:observed_retest,4,12.288866345271966,3.409781263214935,13.900336120474169,-0.11807080313284324,1.0,73.20244040256422,1.0
legacy_correction,support:unclassified_historical,48,15.631148265108889,9.422274389961144,19.498137253073743,-0.21149528272415674,0.9791666666666666,99.05267127607742,0.3342018129512023
legacy_correction,support:unknown_cold_start,4,24.31972056875277,24.31972056875277,24.761810387283294,-62.058175537962555,1.0,118.83866931526589,-0.316227766016838
legacy_correction,support:unknown_prior_reversion,9,20.06695945540552,16.901391951315922,21.169250894488897,-1.531396585304222,1.0,120.4035459935066,0.45
